date,gross_ret,cost_ret,gross_leverage,n_long,n_short,portfolio_turnover,net_ret,equity,cum_ret
2024-06-20,-0.007523963171366513,0.0,1.0,4,4,0.0,-0.007523963171366513,1234225.9073297384,0.23422590732973836
2024-06-21,0.0009141379327065879,0.0,1.0,4,4,0.5,0.0009141379327065879,1235354.1600491577,0.23535416004915777
2024-06-24,0.007239637304811239,0.0,1.0,4,4,0.25,0.007239637304811239,1244297.6761109033,0.24429767611090325
2024-06-25,0.0018853950965176808,0.0,1.0,4,4,0.75,0.0018853950965176808,1246643.6688480512,0.24664366884805133
2024-06-26,-0.0026996868573805526,0.0,0.9999999999999999,3,3,0.5833333333333333,-0.0026996868573805526,1243278.1213194253,0.24327812131942528
2024-06-27,-0.0037072447662543223,0.0,1.0,2,4,0.5,-0.0037072447662543223,1238668.9850111655,0.2386689850111654
2024-06-28,0.012715005646386723,0.0,0.9999999999999999,2,3,0.6666666666666667,0.012715005646386723,1254418.6681495865,0.2544186681495866
2024-07-01,-0.009974160473975388,0.0,0.9999999999999999,3,2,0.5,-0.009974160473975388,1241906.8950519122,0.2419068950519121
2024-07-02,-0.005475151331922279,0.0,1.0,4,2,0.25,-0.005475151331922279,1235107.2668613452,0.2351072668613452
2024-07-03,-0.008915734175455478,0.0,1.0,4,2,0.0,-0.008915734175455478,1224095.378791836,0.22409537879183605
2024-07-04,0.005345726497271969,0.0,1.0,4,2,0.5,0.005345726497271969,1230639.057893432,0.2306390578934321
2024-07-05,-0.002452590300087598,0.0,1.0,4,2,0.7333333333333334,-0.002452590300087598,1227620.8044771336,0.2276208044771335
2024-07-08,-0.0026971173557952754,0.0,0.9999999999999999,5,3,0.19999999999999998,-0.0026971173557952754,1224309.767099043,0.22430976709904282
2024-07-09,0.003094294997851137,0.0,1.0,4,3,0.24999999999999997,0.003094294997851137,1228098.1426871978,0.22809814268719775
2024-07-10,0.0024776158108072016,0.0,1.0,4,4,0.24999999999999997,0.0024776158108072016,1231140.8980627425,0.23114089806274252
2024-07-11,-0.0013726781424236024,0.0,0.9999999999999999,4,3,0.25,-0.0013726781424236024,1229450.937861728,0.229450937861728
2024-07-12,-0.000915731372949443,0.0,0.9999999999999999,4,3,0.39999999999999997,-0.000915731372949443,1228325.091066426,0.22832509106642584
2024-07-15,0.0030388904156909203,0.0,1.0,4,5,0.4166666666666667,0.0030388904156909203,1232057.83641302,0.23205783641302014
2024-07-16,-0.0023018251407397137,0.0,1.0,3,6,0.75,-0.0023018251407397137,1229221.8547103193,0.2292218547103193
2024-07-17,-0.0027509307262395255,0.0,0.9999999999999999,4,3,0.24999999999999997,-0.0027509307262395255,1225840.3505408315,0.2258403505408315
2024-07-18,-0.004187934663925214,0.0,0.9999999999999999,3,3,1.0,-0.004187934663925214,1220706.6112443635,0.22070661124436342
2024-07-19,0.0,0.0,0.0,0,0,0.0,0.0,1220706.6112443635,0.22070661124436342
2024-07-22,0.0,0.0,0.0,0,0,1.0,0.0,1220706.6112443635,0.22070661124436342
2024-07-23,-0.006507685891235159,0.0,0.9999999999999999,3,4,0.33333333333333337,-0.006507685891235159,1212762.636053031,0.21276263605303103
2024-07-24,-0.012447300579352269,0.0,1.0,2,4,1.0,-0.012447300579352269,1197667.0149906713,0.1976670149906714
2024-07-25,0.0,0.0,0.0,0,0,0.0,0.0,1197667.0149906713,0.1976670149906714
2024-07-26,0.0,0.0,0.0,0,0,0.0,0.0,1197667.0149906713,0.1976670149906714
2024-07-29,0.0,0.0,0.0,0,0,0.0,0.0,1197667.0149906713,0.1976670149906714
